Collin
,Event Category Name,1
,,46
,New Member Meeting,4
,Adult Support Group Sessions,39
,Adult Healthy Lifestyle Events,66
,Child/Teen/Family Social,25
,Adult Educational Programs,17
,Adult Social Connection Events,68
,None,1
Dallas
,Event Category Name,1
,,100
,Adult Healthy Lifestyle Events,82
,Adult Support Group Sessions,50
,Adult Social Connection Events,41
,Adult Educational Programs,7
,None,1
Tarrant
,Event Category Name,1
,Adult Social Connection Events,5
,Adult Healthy Lifestyle Events,83
,Adult Support Group Sessions,52
,,103
,Child/Teen/Family Social,131
,Adult Educational Programs,20
,Fundraising Events,8
,None,1
